Arquivo,Descrição
cpu/cortex-m3_common,2 
cpu/native/netdev2_tap,2 
cpu/native/netdev2_tap/netdev2_tap.c,2 
drivers/cc110x/cc1100-csmaca-mac.c,1 
drivers/cc110x_ng/spi,1 
drivers/cc110x_ng/spi/cc110x_spi.c,1 
drivers/cc2420,1 
drivers/at86rf231,2 
drivers/at86rf231/at86rf231_tx.c,1 
drivers/at86rf231/at86rf231_rx.c,2 
drivers/at86rf231/at86rf231_spi.c,1 
drivers/srf08,2 
drivers/srf08/srf08-ultrasonic-sensor.c,2 
drivers/lm75a,1 
drivers/lm75a/lm75a-temp-sensor.c,1 
drivers/cc2420/cc2420_rx.c,1 
drivers/srf02,2 
drivers/kw2xrf,2 
drivers/kw2xrf/kw2xrf.c,1 
drivers/at86rf2xx,2 
drivers/at86rf2xx/at86rf2xx.c,2 
drivers/netdev,3 
boards/avsextrem,1 
boards/avsextrem/drivers,1 
boards/avsextrem/drivers/avsextrem-cc1100.c,1 
boards/avsextrem/drivers/avsextrem-smb380.c,1 
boards/chronos,1 
boards/chronos/drivers,1 
boards/msb-430-common,1 
boards/msb-430h,1 
boards/msb-430h/driver_cc110x.c,1 
boards/msba2-common,2 
boards/msba2-common/board_common_init.c,1 
boards/msba2-common/drivers,2 
boards/msba2,2 
boards/wsn430-common,1 
examples/ccn-lite-client,2 
examples/ccn-lite-client/main.c,2 
examples/rpl_udp,1 
examples/rpl_udp/helper.c,1 
examples/rpl_udp/rpl.c,1 
examples/ccn-lite-relay,1 
examples/ccn-lite-relay/main.c,1 
examples/posix_sockets,1 
pkg/nordic_softdevice_ble,3 
pkg/nordic_softdevice_ble/src,3 
sys/chardev_thread.c,1 
core/hwtimer.c,1 
core/lifo.c,1 
cpu/msp430-common/cpu.c,2 
cpu/native,1 
cpu/native/hwtimer_cpu.c,1 
cpu/native/irq_cpu.c,1 
cpu/native/lpm_cpu.c,1 
cpu/native/native_cpu.c,1 
cpu/native/startup.c,1 
cpu/native/net/tap.c,1 
cpu/native/net/interface.c,1 
cpu/native/syscalls.c,1 
cpu/sam3x8e,3 
cpu/native/periph,3 
cpu/sam3,2 
drivers/cc110x_ng/cc110x-defaultSettings.c,1 
boards/msba2-common/tools,1 
boards/msba2-common/tools/src,1 
boards/native/board_config.c,1 
boards/redbee-econotag,1 
boards/telosb,2 
boards/mbed_lpc1768,1 
sys/net/network_layer/sixlowpan/icmp.c,1 
cpu/mc1322x/hwtimer_cpu.c,1 
cpu/stm32f1,3 
cpu/stm32f1/periph,3 
cpu/stm32f1/periph/uart.c,2 
cpu/stm32f1/syscalls.c,1 
cpu/stm32,3 
drivers/at86rf231/at86rf231.c,1 
sys/net/ccn_lite/ccnl-core.c,1 
sys/lib/ringbuffer.c,1 
tests/unittests/main.c,1 
sys/crypto,1 
sys/net/application_layer/emcute,2 
sys/net/application_layer/emcute/emcute.c,2 
sys/random/random.c,2 
sys/event,1 
sys/event/event.c,1 
sys/net/application_layer/cord,1 
