Arquivo,Descrição
cpu/6502/lib,2 
cpu/6502/lib/config.c,1 
cpu/6502/dhcp,1 
cpu/6502/dhcp/dhcp-client.c,1 
platform/cooja,2 
platform/cooja/cfs,1 
platform/cooja/cfs/cfs-cooja.c,1 
platform/cooja/dev,3 
platform/cooja/dev/cooja-radio.c,1 
platform/cooja/net,2 
platform/cooja/net/radio-uip-uaodv.c,1 
platform/cooja/testapps,1 
platform/cooja/contiki-cooja-main.c,1 
cpu/arm,3 
cpu/arm/at91sam7s,2 
cpu/arm/common,1 
cpu/arm/common/usb,1 
core/net/uip-ds6.c,1 
core/cfs/cfs-coffee.c,1 
core/net/neighbor-info.c,1 
core/net/rpl,5 
core/net/rpl/rpl-dag.c,3 
core/net/rpl/rpl.c,3 
apps/shell/shell-file.c,1 
apps/deluge,1 
apps/deluge/deluge.c,1 
platform/msb430,1 
platform/msb430/dev,2 
platform/msb430/dev/cc1020.c,1 
platform/msb430/contiki-msb430-main.c,1 
apps/webbrowser,3 
apps/vnc,1 
platform/pc-6001,2 
platform/pc-6001/contiki-serial-main.c,1 
cpu/z80,1 
cpu/avr,3 
cpu/avr/radio,2 
platform/avr-ravenusb,1 
platform/avr-ravenusb/contiki-raven-main.c,1 
platform/avr-raven,1 
platform/avr-raven/contiki-raven-main.c,1 
platform/avr-ravenusb/sicslow_ethernet.c,1 
platform/avr-raven/apps/raven-lcd-interface,2 
platform/avr-raven/apps/raven-lcd-interface/raven-lcd.c,2 
platform/avr-raven/apps/raven-webserver/httpd-cgi.c,1 
platform/avr-raven/apps/raven-webserver/httpd-fs.c,1 
platform/avr-zigbit,1 
platform/avr-zigbit/contiki-avr-zigbit-main.c,1 
platform/avr-ravenusb/httpd-simple-avr.c,1 
platform/avr-ravenusb/cdc_task.c,1 
cpu/avr/dev/clock.c,2 
cpu/avr/rtimer-arch.c,2 
cpu/avr/watchdog.c,1 
cpu/avr/radio/rf230bb,1 
cpu/avr/radio/rf230bb/rf230bb.c,1 
cpu/avr/radio/rf230bb/halbb.c,1 
apps/er-coap,3 
platform/redbee-econotag,1 
platform/redbee-econotag/contiki-mc1322x-main.c,1 
cpu/cc2430,4 
cpu/mc1322x,2 
cpu/mc1322x/contiki-maca.c,1 
cpu/mc1322x/lib,4 
cpu/mc1322x/lib/maca.c,2 
platform/micaz/contiki-micaz-main.c,1 
cpu/cc2430/dev,2 
apps/rest-common,1 
core/net/rpl/rpl-of-etx.c,1 
core/net/mac/nullrdc.c,2 
core/net/ip,3 
core/net/ip/resolv.c,1 
core/net/ipv4,1 
core/net/ipv6,4 
apps/servreg-hack,1 
apps/servreg-hack/servreg-hack.c,1 
apps/webserver-nano,2 
platform/sensinode,2 
platform/z1,3 
platform/z1/contiki-z1-main.c,1 
platform/mb851,2 
platform/mbxxx,5 
platform/mbxxx/dev,4 
platform/avr-atmega128rfa1,2 
platform/avr-atmega128rfa1/apps,2 
platform/avr-atmega128rfa1/apps/raven-webserver,2 
platform/wismote,3 
platform/wismote/contiki-wismote-main.c,2 
platform/exp5438,3 
platform/exp5438/contiki-exp5438-main.c,1 
tools/stm32w,1 
tools/stm32w/uip6_bridge,1 
examples/rime/example-rucb.c,1 
examples/rime/example-rudolph2.c,1 
examples/sky-shell-exec,1 
examples/sky-shell-exec/sky-shell-exec.c,1 
examples/ipv6,1 
examples/ipv6/rpl-collect,1 
examples/ipv6/rpl-collect/udp-sender.c,1 
examples/ipv6/slip-radio,2 
examples/cc2530dk,3 
examples/sensinode,2 
cpu/arm/at91sam7s/loader,1 
cpu/stm32w108,2 
cpu/stm32w108/clock.c,1 
core/dev/sht11.c,1 
core/net/rpl/rpl-mrhof.c,2 
core/net/ipv6/uip-ds6-route.c,1 
core/net/ipv6/uip-nd6.c,1 
platform/z1/dev,3 
apps/rest-http,1 
examples/ipv6/native-border-router,1 
cpu/msp430/f1xxx,1 
cpu/msp430/f2xxx,1 
apps/webserver-nano/httpd-cgi.c,1 
examples/ipv6/rpl-border-router,1 
examples/ipv6/rpl-border-router/border-router.c,1 
cpu/stm32w108/dev,1 
core/net/resolv.c,2 
apps/webbrowser/htmlparser.c,1 
apps/webbrowser/www.c,1 
examples/wget,1 
examples/wget/wget.c,1 
apps/er-coap/er-coap-engine.c,1 
apps/er-coap/er-coap-observe.c,1 
apps/er-coap/er-coap.c,1 
examples/er-rest-example,2 
examples/er-rest-example/er-example-server.c,1 
core/net/ipv6/uip6.c,2 
core/net/ipv6/multicast,1 
core/net/ipv6/multicast/roll-tm.c,1 
platform/sensinode/contiki-sensinode-main.c,1 
platform/cc2530dk,2 
platform/cc2530dk/contiki-main.c,1 
platform/cc2538dk,3 
platform/cc2538dk/contiki-main.c,2 
platform/srf06-cc26xx,1 
platform/srf06-cc26xx/sensortag,1 
platform/srf06-cc26xx/sensortag/board-i2c.c,1 
examples/cc2530dk/border-router,1 
examples/sensinode/border-router,1 
examples/cc26xx,2 
examples/cc26xx/cc26xx-web-demo,2 
cpu/cc2430/dev/cc2430_rf.c,1 
cpu/cc2538,2 
cpu/cc2538/dev,2 
cpu/cc2538/dev/cc2538-rf.c,2 
cpu/cc26xx-cc13xx,2 
cpu/cc26xx-cc13xx/rf-core,2 
cpu/cc26xx-cc13xx/rf-core/ieee-mode.c,2 
cpu/cc26xx-cc13xx/rf-core/prop-mode.c,1 
cpu/cc26xx-cc13xx/rf-core/rf-core.c,1 
tools/sky,1 
core/net/rpl/rpl-icmp6.c,1 
core/net/rpl/rpl-timers.c,1 
core/net/rpl/rpl-ext-header.c,1 
core/net/ip/tcpip.c,1 
core/net/ipv6/sicslowpan.c,1 
core/net/ipv6/uip-icmp6.c,1 
core/net/mac/tsch,3 
core/net/mac/tsch/tsch-slot-operation.c,2 
platform/mbxxx/contiki-main.c,1 
examples/mbxxx,2 
core/net/packetbuf.c,1 
core/net/mac/contikimac/contikimac.c,1 
core/net/llsec,1 
core/net/llsec/noncoresec,1 
core/net/llsec/noncoresec/noncoresec.c,1 
dev/cc2420,1 
dev/cc2420/cc2420.c,1 
platform/avr-rss2,1 
platform/avr-rss2/contiki-main.c,1 
